psraid,sex,lifeq,snsuse,age,educ,race,inc,hisp
101277,1,5, ,91,3,1,2,2
101285,2,4, ,98,2,1,99,9
101286,1,5,1,53,3,1,2,2
101303,2,3, ,77,4,4,99,2
101306,1,5, ,65,6,1,8,2
101307,1,3,1,62,6,2,7,2
101311,2,4,1,34,5,1,6,9
101316,2,4,1,58,3,1,3,2
101319,1,2, ,49,3,1,99,2
101321,2,2,1,48,5,1,6,2
101323,2,4, ,77,3,1,1,2
101324,1,5, ,49,3,5,2,2
101327,1,4, ,60,3,1,5,2
101331,1,3,9,58,7,1,5,1
101333,2,3, ,66,3,1,99,2
101340,1,4, ,35,5,1,1,1
101341,1,1,1,48,5,1,2,2
101343,1,2, ,79,3,1,3,1
101355,2,4,1,46,5,1,7,2
101358,2,3,1,57,6,4,8,2
101359,2,3, ,70,7,1,99,2
101370,2,3, ,89,3,1,3,2
101374,1,3,1,38,6,1,7,2
101380,2,2,88,53,3,1,99,2
101381,2,4, ,55,5,1,3,2
101387,1,3, ,49,5,1,5,2
101390,1,2,1,58,7,1,8,2
101392,1,2, ,88,3,1,99,2
101405,2,3,1,54,6,1,7,2
101407,1,2, ,22,2,2,4,1
101409,2,2,1,69,3,1,3,2
101411,2,3, ,89,3,1,99,2
101413,2,5,1,49,5,1,2,2
101423,2,2, ,63,7,1,5,2
101424,2,3, ,62,3,1,99,2
101426,2,5, ,66,3,1,1,2
101436,1,1, ,80,5,1,99,2
101442,2,2,88,32,6,1,8,2
101443,2,3,88,51,3,1,2,2
101450,2,3, ,75,2,1,2,2
101452,2,3,1,47,5,1,6,2
101459,1,3,88,46,5,1,3,1
101461,2,4, ,76,3,1,99,2
101465,1,8, ,83,1,1,98,1
101466,1,5, ,71,2,1,2,2
101479,1,2, ,78,5,2,2,2
101490,1,2, ,99,8,1,99,2
101493,2,2, ,67,3,1,1,2
101502,2,2,1,55,5,1,6,2
101509,1,3, ,68,5,3,9,2
101513,2,3,1,43,6,1,9,2
101515,2,1,1,50,6,1,4,2
101523,2,1,1,50,3,1,6,2
101525,2,4,1,98,5,1,4,2
101526,1,3,1,52,6,1,4,1
101528,1,2, ,53,6,1,8,2
101537,1,3,1,25,5,1,4,2
101539,1,1,1,23,7,1,9,2
101551,1,4, ,26,2,1,1,1
101553,2,3,2,45,6,9,99,9
101556,1,2, ,46,6,1,8,2
101560,2,2,1,60,6,1,4,2
101561,1,3, ,87,3,1,98,2
101566,1,1,1,43,6,1,4,2
101567,2,1, ,75,3,2,99,2
101573,2,9,1,29,6,1,7,2
101575,2,4,1,65,6,1,99,2
101579,1,2, ,73,2,1,8,2
101581,2,2,1,69,5,1,4,2
101582,2,2, ,89,2,1,1,2
101583,2,2, ,79,2,2,98,2
101584,1,2,2,60,6,1,8,2
101590,2,3, ,66,5,1,6,2
101591,2,1,1,54,6,1,99,2
101593,2,4, ,33,2,1,2,2
